"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value","Bid ARB","Ask ARB"
"localbtcCAD","CAD",56795.26,18931.75,30506.59,17284.15,10.45,200624.44,0.8,45358.92,15119.64,3.15,1.05
"localbtcNZD","NZD",23949.49,22202.03,37141.86,23802.18,20.29,470589.5,0.71,17054.42,15810.06,1.18,1.1
"localbtcAUD","AUD",57056.41,19248.93,40955.74,21095.43,50.69,1036868.74,0.78,44767.58,15103.09,3.11,1.05
"vcxEUR","EUR",726,6400,,6400,0,0,1.2,873.66,7701.7,0.06,0.53
"localbtcEUR","EUR",36236.5,11129.44,29134.02,12969.74,49.66,616571.28,1.2,43606.68,13393.07,3.02,0.93
"bitmarketEUR","EUR",12410.15,12924.47,13276.07,12650,5.38,69227.65,1.2,14934.26,15553.19,1.04,1.08
"nevbitPLN","PLN",43173.78,63499.99,55038.07,53034.46,51.91,2802206.24,0.29,12502.56,18388.76,0.87,1.27
"btcdeEUR","EUR",12500,12500,29985.01,12700,861.68,10905366.27,1.2,15042.39,15042.39,1.04,1.04
"bitkonanUSD","USD",14811,15179.95,15599,14800,1.97,29691.13,"N/A","N/A","N/A",,
"localbtcINR","INR",1409535.7,993296.97,1652070.06,1110874.12,11.56,12640643.59,0.02,22224.71,15661.71,1.54,1.09
"bitmarketPLN","PLN",52162.88,52508.98,54980.8,52162.88,194.7,10489206.76,0.29,15105.69,15205.91,1.05,1.05
"coinbaseUSD","USD",14417,14426.96,15400,14250,19663.68,294780705.11,"N/A","N/A","N/A",,
"krakenCAD","CAD",18400,18986.9,19459.5,18400,97.84,1836771.57,0.8,14694.96,15163.68,1.02,1.05
"coinbaseGBP","GBP",10703.64,10737.5,11543.18,10674.7,636.23,7125920.07,1.35,14489.64,14535.47,1.01,1.01
"coinbaseEUR","EUR",12705.13,12712.5,13198,12529.84,3714.4,48076842.58,1.2,15289.24,15298.11,1.06,1.06
"btcalphaUSD","USD",1000000,0.02,15390,14144,261.75,3904336.1,"N/A","N/A","N/A",,
"rockEUR","EUR",11804.76,11820.59,12400.1,11803.5,151.79,1841090.36,1.2,14205.74,14224.79,0.99,0.99
"btccUSD","USD",15500,16420,17000,15500,28.62,450275.72,"N/A","N/A","N/A",,
"coincheckJPY","JPY",1748088,1748459,1850000,1748295,34438.64,61165696188.12,0.01,15525.31,15528.61,1.08,1.08
"bitstockCZK","CZK",317017,345000,370000,315025,0.23,75620.21,0.05,14943.62,16262.69,1.04,1.13
"localbtcVND","VND",345876319.28,391861399.44,403463477.2,338867460.62,0.16,60789304.41,0,15230.8,17255.78,1.06,1.2
"bitxIDR","IDR",225000000,225001000,229999000,225501000,4.6,1038291115.59,0,16763.52,16763.6,1.16,1.16
"bitxMYR","MYR",74000,74002,74950,74000,118.01,8718900.59,0.25,18460.79,18461.29,1.28,1.28
"bitxNGN","NGN",5650000,5668000,5750000,5667000,52.45,296444850.76,0,15870.79,15921.36,1.1,1.1
"bitxZAR","ZAR",199004,199070,219850,199095,979.28,202575854.39,0.08,16183.79,16189.15,1.12,1.12
"krakenJPY","JPY",1600000,1736871,1899997,1618042,10.33,18312313.79,0.01,14210.1,15425.69,0.99,1.07
"cexUSD","USD",15600.02,15658.53,16553.29,15638.57,1919.77,30563637.1,"N/A","N/A","N/A",,
"cexEUR","EUR",12612.4,12782.48,13250,12605.02,272.39,3518480.76,1.2,15177.65,15382.32,1.05,1.07
"cexRUB","RUB",932010.01,959989.03,978000,959989.79,6.11,5808483.12,0.02,16301.52,16790.89,1.13,1.16
"coinsbankUSD","USD",14300.01,14387.88,15339.59,14424.35,2091.63,30891832.82,"N/A","N/A","N/A",,
"coinsbankEUR","EUR",12100,12100.59,12967.43,12000,1738.81,21483219.25,1.2,14561.03,14561.74,1.01,1.01
"coinsbankGBP","GBP",10425,11100,11803.78,10478.67,1812.37,20016934.03,1.35,14112.44,15026.19,0.98,1.04
"coinsbankRUB","RUB",800300,840900,884200,809100,1717.55,1469751426.6,0.02,13997.82,14707.94,0.97,1.02
"bcEUR","EUR",12626,12709.94,13190,12729.96,20.54,262963.2,1.2,15194.02,15295.03,1.05,1.06
"bitflyerJPY","JPY",1759605,1760114,1848540,1752732,13684.37,24341100291.84,0.01,15627.6,15632.12,1.08,1.08
"chilebitCLP","CLP",10188010,11494990,11497000,10188010,0.07,840447.91,0,16792.5,18946.74,1.16,1.31
"urdubitPKR","PKR",1785007,1794500,1857321,1787000,11.33,20563903.11,0.01,16161.22,16247.17,1.12,1.13
"surbtcVEF","VEF",70600006,81999999,,81999999,0,0,0.1,7077722.51,8220583.42,490.93,569.81
"getbtcUSD","USD",9844.98,9876.69,15557.03,14197.07,674.68,10123058.02,"N/A","N/A","N/A",,
"vbtcVND","VND",371001000,418000000,420000000,371001000,17.8,6641703246.35,0,16337.18,18406.8,1.13,1.28
"foxbitBRL","BRL",51501,51619.99,53000,51619.98,453.12,23732312.81,0.31,15911.59,15948.35,1.1,1.11
"btcboxJPY","JPY",1750000,1751744,1836779,1750345,18675.33,32802468955.59,0.01,15542.29,15557.78,1.08,1.08
"zaifJPY","JPY",1760560,1761000,1859000,1760970,5904.61,10504081852.36,0.01,15636.08,15639.99,1.08,1.08
"okcoinUSD","USD",14914.22,15091.84,16236.79,14877.09,163.39,2556475.36,"N/A","N/A","N/A",,
"bitmaszynaPLN","PLN",52512.76,53346,56248.01,53346,2.17,115603.37,0.29,15207.01,15448.3,1.05,1.07
"localbtcVEF","VEF",1449004875000,146204.59,2580978190.73,1759995924.54,23.99,44059380062.87,0.1,145264214566.85,14657.16,10075897.52,1.02
"wexUSD","USD",14557.61,14559.17,15437.41,14545,554.62,8297269.78,"N/A","N/A","N/A",,
"coinfalconEUR","EUR",12651.54,12762.6,13250,12783.14,202.3,2615121.68,1.2,15224.75,15358.4,1.06,1.06
"wexEUR","EUR",12620,12685.13,13144.39,12593.07,66.67,857981.81,1.2,15186.8,15265.18,1.05,1.06
"wexRUB","RUB",858110.7,862971.54,898140.74,862500,58.14,50997992.53,0.02,15008.97,15093.99,1.04,1.05
"fiscoJPY","JPY",1760040,1761000,1859000,1760850,5904.63,10504119182.38,0.01,15631.46,15639.99,1.08,1.08
"abucoinsUSD","USD",15285.36,15500.26,15887.72,15375.56,4.67,73433.85,"N/A","N/A","N/A",,
"abucoinsPLN","PLN",53300,53500,55456.67,53000,29.89,1617598.31,0.29,15434.98,15492.9,1.07,1.07
"abucoinsEUR","EUR",12901,12901.23,13257.41,12830.37,16.51,214167.38,1.2,15524.95,15525.23,1.08,1.08
