"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value","Bid ARB","Ask ARB"
"btcoidIDR","IDR",222491000,222501000,229941000,222500000,711.53,160393892447.49,0,16576.59,16577.34,1.15,1.15
"localbtcUSD","USD",15000000,14364.9,100000,21097.4,168.89,2613771.35,"N/A","N/A","N/A",,
"zyadoEUR","EUR",12155.83,12169,12789.49,12169,2619.64,32881097.66,1.2,14628.22,14644.07,1.01,1.02
"localbtcDKK","DKK",121399.14,88126.78,99562.92,99562.92,2.72,237763.97,0.16,19617.34,14240.73,1.36,0.99
"localbtcPLN","PLN",53195.84,52900.15,73197.87,73197.87,0.94,48893.35,0.29,15404.82,15319.19,1.07,1.06
"bit2cILS","ILS",53900,54398.92,56499,53900,35.2,1912768.72,0.29,15641.2,15785.98,1.08,1.09
"itbitUSD","USD",14195.93,14195.94,15414.21,14189.74,3504.14,52293675.53,"N/A","N/A","N/A",,
"itbitSGD","SGD",18865.07,18872.96,20495.29,19000,4.9,97482.04,0.75,14194.72,14200.66,0.98,0.98
"itbitEUR","EUR",11798.16,11802.72,12810.15,12027.9,5.08,62845.85,1.2,14197.8,14203.29,0.98,0.98
"korbitKRW","KRW",20964000,20975000,21450000,20950500,3554.64,73513570059.95,0,19733.24,19743.59,1.37,1.37
"bitbayUSD","USD",15650.01,15996.9,16380,15770.03,13.14,208640.61,"N/A","N/A","N/A",,
"bitbayPLN","PLN",53616.01,53799,55373,53795,1349.4,73197947.37,0.29,15526.49,15579.49,1.08,1.08
"bitbayEUR","EUR",12700,13141.5,13334.98,12700.1,17.17,223337.55,1.2,15283.07,15814.36,1.06,1.1
"coinfloorGBP","GBP",10730,10750,11499,10731,383.11,4257166.78,1.35,14525.32,14552.4,1.01,1.01
"localbtcSEK","SEK",136157.33,119436.26,201322.57,112038.03,13.37,1717812.17,0.12,16691.65,14641.8,1.16,1.01
"localbtcRUB","RUB",99999999999999.98,448998.36,9147490.48,963021.63,161.42,151558351.26,0.02,1749071273762.38,7853.3,121320057.83,0.54
"bitstampUSD","USD",14191,14192.37,15500,14200,14220.53,212579539.49,"N/A","N/A","N/A",,
"btcmarketsAUD","AUD",20600,20649.64,21900,20400,878.46,18533124.44,0.78,16163.16,16202.11,1.12,1.12
"localbtcARS","ARS",357799.23,271816.47,470416.06,298824.35,2.75,842306.04,0.05,19393.96,14733.4,1.35,1.02
"localbtcNOK","NOK",124070.25,125005.68,148825.22,127028.81,12.5,1561808.78,0.12,15319.92,15435.43,1.06,1.07
"localbtcGBP","GBP",24536.24,7731,44412.86,11647.98,205.49,2347121.88,1.35,33214.98,10465.54,2.3,0.73
"virwoxSLL","SLL",3930000,3989000,4349962,3989000,18.93,77357211.75,0,515.07,522.8,0.04,0.04
"fybseSEK","SEK",122800,122899.92,122899.99,122800,0.37,44638.82,0.12,15054.17,15066.42,1.04,1.04
"krakenUSD","USD",14489.4,14493,15500.1,14500,3070.56,46228615.07,"N/A","N/A","N/A",,
"mrcdBRL","BRL",52502,52630,53999,52502,329.48,17397045.71,0.31,16220.86,16260.4,1.13,1.13
"fybsgSGD","SGD",20300,20998.99,21996.99,20300,52.82,1121836.71,0.75,15274.41,15800.36,1.06,1.1
"localbtcTHB","THB",525902.69,481774.85,675441.4,523345.73,8.22,4310566.66,0.03,16306.96,14938.66,1.13,1.04
"localbtcSGD","SGD",24450,21066.67,23584.42,21782.97,20.74,414509.27,0.75,18397.01,15851.28,1.28,1.1
"localbtcHKD","HKD",141805.53,121296.46,131651.51,129823.49,12.52,1508706.59,0.13,18138.04,15514.77,1.26,1.08
"localbtcILS","ILS",53505.69,54020.17,66155.68,64309.72,0.34,19680,0.29,15526.78,15676.07,1.08,1.09
"localbtcCZK","CZK",306470.8,345571.08,396973.47,362515.42,0.12,42000,0.05,14446.49,16289.61,1,1.13
"localbtcMXN","MXN",421057.64,277898.04,436643.09,325262.87,2.44,767271.46,0.05,21862.79,14429.44,1.52,1
"localbtcCHF","CHF",22176.1,15273.61,17800.72,12205.65,4.78,66592.16,1.02,22705.59,15638.3,1.57,1.08
"vcxUSD","USD",1501,10000,,6500,0,0,"N/A","N/A","N/A",,
"lakeUSD","USD",15310.18,15354,15891.06,15311.33,260.36,4032235.11,"N/A","N/A","N/A",,
"localbtcZAR","ZAR",243000,205238.01,689457.05,192780,18.2,3670895.98,0.08,19761.71,16690.76,1.37,1.16
"localbtcBRL","BRL",62050,9900,68029.99,54299.65,4.01,208783.02,0.31,19170.78,3058.67,1.33,0.21
"rockUSD","USD",13500.01,16369,,14890,0,0,"N/A","N/A","N/A",,
"krakenEUR","EUR",12111,12113.4,12848.6,12111.1,5309.55,66625999.56,1.2,14574.27,14577.16,1.01,1.01
