"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate"
"exmoUSD","USD",778.59,782,,782.324888,0,0,"no data"
"exmoRUB","RUB",47468.0010101,47619.9989899,,47435.0010101,0,0,57.576801
"exmoEUR","EUR",736.186,739.979,,737.571,0,0,0.832704
"cexEUR","EUR",12500.61,12605.91,13199,12605.91,180.96081218,2290416.05826419,0.832704
"cexRUB","RUB",910010.24,949911.11,1000000,949911.11,6.01883505,5671998.949518072,57.576801
"coinsbankUSD","USD",14050,14400,15000,14194.99,2132.2483,30353723.121291,"no data"
"coinsbankEUR","EUR",12000,12200,13194.85,12164.61,1913.478,22803682.93714,0.832704
"coinsbankGBP","GBP",10000,11340.11,11255.58,10692.17,1814.0692,19416540.360328,0.73998
"coinsbankRUB","RUB",809300,850500,883000,830400,1794.68381,1491720794.163,57.576801
"allcoinUSD","USD",16500,17350,,16500,0,0,"no data"
"btc2uBRL","BRL",654.5004,659.99,,654.5,0,0,3.311904
"bcEUR","EUR",12500.05,12949,12997.95,12996.23,14.50916087,178869.4076574757,0.832704
"bitflyerJPY","JPY",1706566,1708409,1771405,1711861,16380.42376423,28021375483.291336,112.636002
"chilebitCLP","CLP",9677130,11845980,11885990,11845980,0.33317345,3422207.7155955,614.650024
"urdubitPKR","PKR",1853013,1876550,1915000,1858012,7.42306389,13818337.61417052,110.349998
"surbtcVEF","VEF",70600003,81999999,,70600101,0,0,9.975038
"getbtcUSD","USD",9844.98,9876.69,15266.88,14457.65,682.3459,9954654.332373,"no data"
"vbtcVND","VND",354000000,356548100,370079000,354000000,15.23787698,5450715421.00542,22699
"foxbitBRL","BRL",50502,50548.99,52300,50502,459.9290493,23049504.956867114,3.311904
"btcboxJPY","JPY",1709426,1711885,1940000,1708427,4459.1899,7497153892.3712,112.636002
"zaifJPY","JPY",1702630,1702950,1785750,1706075,9350.405,16033565824.4845,112.636002
"okcoinUSD","USD",15209.28,15343.49,15965.73,15226.01,136.93051,2092163.328342,"no data"
"bitmaszynaPLN","PLN",51600,52295.15,53998,52438.84,4.43874193,230934.2554801685,3.477304
"krakenGBP","GBP",2990,3239.999,,3018,0,0,0.73998
"localbtcVEF","VEF",2155000000,152377.75,2470844040.32,1650000628.9,45.3355034,72888066447.09425,9.975038
"wexUSD","USD",14568.831,14636.429,15099.99,14669.876,699.67040302,10185513.802009186,"no data"
"coinfalconEUR","EUR",12500.47,12605.91,13200,12440.09,207.63418425,2639099.859628674,0.832704
"wexEUR","EUR",12461.76422,12537.704,12838.4,12499.73411,45.65783215,570063.2298746618,0.832704
"wexRUB","RUB",855001,858217.953,880955.21956,858468,51.81631242,44201366.93905575,57.576801
"fiscoJPY","JPY",1705055,1705860,1785750,1706075,9350.306,16033396852.9845,112.636002
"remitanoVND","VND",435728952.45,422740794.925,,153045823.046,0,0,22699
"abucoinsUSD","USD",15182.18,15376.38,15505.2,15279.27,2.22485666,33879.8250467773,"no data"
"abucoinsPLN","PLN",53278.31,53480.93,54532.9,53380.62,24.08816265,1269323.809707794,3.477304
"abucoinsEUR","EUR",12611.98,12803.53,13199.33,12707.8,16.32440839,206162.0868008823,0.832704
"anxhkAUD","AUD",512.20317,541.92942,,333.84754,0,0,1.280604
"anxhkCHF","CHF",175.21825,223,,217.2411,0,0,0.97461
"anxhkCNY","CNY",2430,2578.24622,,1553.73989,0,0,6.506204
"anxhkNZD","NZD",555.72253,588.51416,,371.2863,0,0,1.410204
"chbtcCNY","CNY",27028.19,28000,,27197,0,0,6.506204
"bitsoMXN","MXN",187000.99,188000,,5200,0,0,19.645104
"btctradeCNY","CNY",22020.1,22199,,24821,0,0,6.506204
"jubiCNY","CNY",27150,27599,,27599,0,0,6.506204
"justXRP","XRP",25000,74998,,64001,0,0,"no data"
