"symbol","currency","bid","ask"," latest_trade","n_trades","high","close","previous_close","volume","currency_volume"
"mrcdBRL","BRL",51700,51850,,,53950,51850,,761.3500743,38412048.76068544
"fybsgSGD","SGD",21437.99,21567.99,,,22586.95,21568,,36.89201073,780195.1480374819
"localbtcTHB","THB",533999,484976.93,,,602111,518796.09,,7.45039848,3890300.3118408937
"localbtcSGD","SGD",24450,20930.02,,,23869.9,22385,,6.09319101,128996.7497489142
"localbtcHKD","HKD",136984.26,118304.59,,,140231.28,133375.77,,5.26986427,656683.9182242181
"localbtcILS","ILS",51775.42,49784.06,,,82999.12,66300.01,,0.05150452,3449.9998755587
"localbtcCZK","CZK",309269.19,347927.83,,,425800.08,275733.19,,0.20985695,58724.8401674629
"bitcashCZK","CZK",,,,,,6700,,0,0
"localbtcMXN","MXN",440821.44,290744.72,,,424613.42,334797.07,,2.25932466,708525.9989043329
"localbtcCHF","CHF",19853.98,14465.04,,,17337.63,14421,,2.4871527,37621.5801910394
"vcxUSD","USD",1500.00000101,6500,,,6500,6500,,0.003559,23.1335
"mtgoxSGD","SGD",166.9763,175.64537,,,,200,,0,0
"mtgoxHKD","HKD",1021.5348,1074.57077,,,,1001,,0,0
"mtgoxEUR","EUR",95.89175,98.41,,,,95.89175,,0,0
"mtgoxSEK","SEK",857.004,901.498,,,,1046.411,,0,0
"kptnSEK","SEK",3200,3468.465,,,,3468.465,,0,0
"rockUSD","USD",13550.01,16369,,,14899.99,13550.01,,0.7065,9870.500195
"lakeUSD","USD",15371.24,15414.89,,,15487.46,15364.41,,199.25603,2935090.48859612
"localbtcZAR","ZAR",243000,210644.02,,,300003,244999.19,,9.90138703,1970323.0982704633
"localbtcBRL","BRL",68055.71,9900,,,76095.39,53597.27,,3.9375878,207351.3907448855
"weexCAD","CAD",150,,,,,120,,0,0
"weexAUD","AUD",880,890,,,,890,,0,0
"virtexCAD","CAD",548,550,,,,550,,0,0
"rmbtbCNY","CNY",1000,5898,,,,5177.36,,0,0
"justNOK","NOK",1100,2298,,,,2058,,0,0
"justEUR","EUR",150.014,285.249,,,,150.02,,0,0
"crytrEUR","EUR",210.00000007,297.9999999,,,,481.12,,0,0
"cbxUSD","USD",649,650,,,,1248,,0,0
"btceRUR","RUB",153205.96155,154057.54522,,,,154032.52253,,0,0
"btceEUR","EUR",2222.4,2231.30634,,,,2226.85317,,0,0
"btc24EUR","EUR",412,503,,,,412,,0,0
"bitcurexEUR","EUR",569.9902,595.8599,,,,573,,0,0
"krakenEUR","EUR",12619.7,12621.7,,,12650,12628.2,,7071.08967169,85613145.28107285
"mtgoxDKK","DKK",715.58259,752.73415,,,,1000,,0,0
"mtgoxRUB","RUB",4683.28589,4926.4324,,,,5899.99,,0,0
"mtgoxTHB","THB",4017.40562,4830.52184,,,,3500,,0,0
"mtgoxCHF","CHF",117.07424,123.15249,,,,100,,0,0
"bcGBP","GBP",,,,,,99.70799664,,0,0
"aqoinEUR","EUR",,,,,,1.71,,0,0
"bcmPPUSD","USD",,,,,,23.5,,0,0
"bitchangePLN","PLN",,,,,,10,,0,0
"mtgoxJPY","JPY",13659.07,14191.435,,,,13959.262,,0,0
"mtgoxGBP","GBP",79.07713,83.18265,,,,81.82177,,0,0
"intrsngGBP","GBP",271.3998,376.17865,,,,376.17865,,0,0
"localbtcCAD","CAD",56192.1,18697.71,,,45035.1,22250.28,,4.86950353,96127.8903045126
"localbtcNZD","NZD",23128.87,20288.48,,,40559.81,22514.43,,8.17944612,185387.581048203
"localbtcAUD","AUD",57346.63,19497.85,,,63572.79,16336,,17.27796539,352851.2113613294
"vcxEUR","EUR",1000,6400,,,,6400,,0,0
"intrsngUSD","USD",,,,,,11.9,,0,0
"localbtcEUR","EUR",37432.45,11496.75,,,28815.21,12483.29,,60.7275025,764566.5398100638
"bitmeLTC","LTC",,27,,,,67.756456,,0,0
"bitmarketEUR","EUR",12614.1649,12929.1498,,,12926.9757,12779.6116,,0.91132232,11382.42593867135
"nevbitPLN","PLN",52350,66396.66,,,55600,53248.79,,37.57554563,2006043.9659290744
"btcdeEUR","EUR",12410.2,12450,,,29985.01,12555,,932.99194531,11433230.481192116
"wbxAUD","AUD",,26,,,,26,,0,0
"rippleEUR","EUR",,265,,,,258,,0,0
"lybitUSD","USD",,,,,,119,,0,0
"krakenLTC","LTC",161.34427,162.06659,,,,160.565,,0,0
"justLTC","LTC",83.85,200,,,,95.086,,0,0
"btceUSD","USD",2546,2546.78,,,,2546,,0,0
"bitnzNZD","NZD",1200,2000,,,,2000,,0,0
"bitcurexPLN","PLN",1227.5,1240,,,,2289,,0,0
"bitaloUSD","USD",9100,,,,,600,,0,0
"bitaloPLN","PLN",,1700,,,,1950,,0,0
"bitaloGBP","GBP",1896343.188,,,,,340,,0,0
"bitaloEUR","EUR",6900,306,,,,200,,0,0
"bitmarketAUD","AUD",,,,,,14,,0,0
"bitmarketRUB","RUB",,,,,,300,,0,0
"bitmarketUSD","USD",,,,,,14,,0,0
"bitkonanUSD","USD",14868.88,15077,,,15300.93,14899.99,,2.11608492,30369.6635058194
"intrsngEUR","EUR",316.54185,419,,,,308.01092,,0,0
"localbtcINR","INR",1422546.2,1002465.44,,,1800004.11,1056000,,22.01778617,24858295.05726758
"mtgoxPLN","PLN",484.86703,517.15322,,,,403.05837,,0,0
"mtgoxCAD","CAD",146.16779,153.75652,,,,120.01,,0,0
"hitbtcEUR","EUR",2501.31,4499.99,,,,4499.99,,0,0
"hitbtcUSD","USD",7906.62,7910,,,,7915.48,,0,0
"btcnCNY","CNY",28158,28399.99,,,,28158,,0,0
"bit121GBP","GBP",,300,,,,300,,0,0
"btceurEUR","EUR",357.7,403.82,,,,255,,0,0
"bitmarketPLN","PLN",52900,53600,,,55410.1364,53600,,310.96223166,16116393.905714594
"coinbaseUSD","USD",14867.4,14867.41,,,15105.34,14868.9,,26505.04094889,376637239.9975643
"krakenCAD","CAD",19280.9,19430.7,,,19999.9,19281.2,,25.41981596,470872.594033782
"coinbaseGBP","GBP",11197.55,11201.06,,,11306,11245.35,,688.00612044,7330628.306819428
"coinbaseEUR","EUR",12933.01,12933.55,,,13226.61,13037.99,,3964.56244395,50801222.32744338
"btcalphaUSD","USD",1000000,0.016,,,14952,14952,,334.107852,4677042.213552199
"fluctoPLN","PLN",53005.4,,,,,26021.26,,0,0
"rockEUR","EUR",12468.22,12482.09,,,12573.3,12482.09,,159.2316,1885353.049517
"rockSLL","SLL",,,,,,18050,,0,0
"btccUSD","USD",14680,15000,,,15500,15000,,15.5721,231671.94185
"coincheckJPY","JPY",1765235,1765474,,,1767999,1765235,,48714.52027128,81598198759.21948
"bitstockCZK","CZK",330010,365900,,,332000,325000,,0.27529,90969.25
