"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value","Bid ARB","Ask ARB"
"localbtcUSD","USD",15000000,14821.3,100000,21097.4,168.89,2613771.35,"N/A","N/A","N/A",,
"itbitUSD","USD",14427.89,14428.79,15414.21,14438.47,3433.81,51283645.62,"N/A","N/A","N/A",,
"bitbayUSD","USD",15650.01,15996.9,16380,15770.03,13.14,208640.61,"N/A","N/A","N/A",,
"bitstampUSD","USD",14448.26,14469.99,15500,14445.76,14028.29,209828630.02,"N/A","N/A","N/A",,
"krakenUSD","USD",14576.9,14582.5,15500.1,14577,3028.57,45618154.3,"N/A","N/A","N/A",,
"vcxUSD","USD",1501,10000,,6500,0,0,"N/A","N/A","N/A",,
"lakeUSD","USD",15310.18,15354,15891.06,15309,260.21,4029971.15,"N/A","N/A","N/A",,
"rockUSD","USD",13500.01,16369,,14890,0,0,"N/A","N/A","N/A",,
"bitkonanUSD","USD",14811,15447.69,15599,14800,1.97,29691.13,"N/A","N/A","N/A",,
"coinbaseUSD","USD",14546.61,14546.62,15400,14517.01,19377.12,290647820.32,"N/A","N/A","N/A",,
"btcalphaUSD","USD",1000000,0.02,15390,14314,258.63,3859903.24,"N/A","N/A","N/A",,
"btccUSD","USD",15500,16420,17000,15500,28.48,448006.52,"N/A","N/A","N/A",,
"cexUSD","USD",15731,15787.53,16553.29,15815.36,1896.32,30195677.49,"N/A","N/A","N/A",,
"coinsbankUSD","USD",14470.01,14574.55,15339.59,14496.41,2077.51,30686172.74,"N/A","N/A","N/A",,
"getbtcUSD","USD",9844.98,9876.69,15557.03,14427.34,670.3,10057875.56,"N/A","N/A","N/A",,
"okcoinUSD","USD",15203.76,15372.33,16236.79,15237.12,157.17,2462158.29,"N/A","N/A","N/A",,
"wexUSD","USD",14680,14738.76,15437.41,14713.44,534.39,8002561.45,"N/A","N/A","N/A",,
"abucoinsUSD","USD",15365.73,15582.46,15887.72,15473.3,4.67,73430.62,"N/A","N/A","N/A",,
