"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value","Bid ARB","Ask ARB"
"btcoidIDR","IDR",227498000,227499000,229998000,227610000,643.61,144693602928.48,0,16889.24,16889.31,1.1,1.1
"localbtcUSD","USD",15000000,14894.56,100000,48000,159.26,2463502.64,"N/A","N/A","N/A",,
"zyadoEUR","EUR",12743.17,12744.76,12869.86,12739.16,2556.06,32154295.34,1.2,15314.47,15316.38,1,1
"localbtcDKK","DKK",128574.99,93335.92,98999.56,98641.61,2.92,254563.97,0.16,20751.06,15063.73,1.35,0.98
"localbtcPLN","PLN",53977.94,54923.8,62567.63,55493.82,0.94,48793.35,0.29,15632.63,15906.56,1.02,1.03
"bit2cILS","ILS",54153.59,54460,56499,54460,34.91,1911884.31,0.29,15706.25,15795.12,1.02,1.03
"itbitUSD","USD",15293.43,15298.43,15414.21,15303.92,2713.81,40870443.09,"N/A","N/A","N/A",,
"itbitSGD","SGD",20340.52,20350.14,20495.29,20495.29,5.12,102374.65,0.75,15290.29,15297.52,0.99,1
"itbitEUR","EUR",12719.84,12725.58,12810.15,12810.15,4.39,54936.94,1.2,15286.43,15293.33,0.99,0.99
"korbitKRW","KRW",21281000,21326000,21375000,21352500,3695.31,75856925352.62,0,19967.35,20009.57,1.3,1.3
"bitbayUSD","USD",15770,16180.99,16380,15780,9.07,144649.21,"N/A","N/A","N/A",,
"bitbayPLN","PLN",54972.5,55100,55373,54950,1339.5,72734820.43,0.29,15920.67,15957.59,1.04,1.04
"bitbayEUR","EUR",12800.21,13121.5,13334.98,13115,15.97,207957.22,1.2,15383.02,15769.14,1,1.03
"coinfloorGBP","GBP",11480,11488,11499,11480,376.18,4184842.05,1.35,15517.92,15528.73,1.01,1.01
"localbtcSEK","SEK",139679.73,122526.08,201322.57,136179.79,13.27,1707369.11,0.12,17096.72,14997.13,1.11,0.98
"localbtcRUB","RUB",99999999999999.98,448998.36,1216989.17,968405.76,146.56,137625788.21,0.02,1749833450852.15,7856.72,113822520.85,0.51
"bitstampUSD","USD",15311.55,15325.77,15500,15302.24,13044.09,195736425.94,"N/A","N/A","N/A",,
"btcmarketsAUD","AUD",21452.36,21534,21900,21534,803.05,16796482.53,0.78,16792.43,16856.33,1.09,1.1
"localbtcARS","ARS",354631.79,269410.2,470416.06,296994.98,2.91,892098.08,0.05,19222.28,14602.97,1.25,0.95
"localbtcNOK","NOK",123592.71,125304.18,148825.22,109919.46,13.56,1679017.36,0.12,15241.46,15452.52,0.99,1.01
"localbtcGBP","GBP",33412.79,7731,44412.86,12110,195.88,2240914.21,1.35,45165.24,10450.26,2.94,0.68
"virwoxSLL","SLL",3966767,4049999,4349962,4049999,18.89,77058846.87,0,519.89,530.8,0.03,0.03
"fybseSEK","SEK",122800,122900,122899.99,122800,0.36,43165.22,0.12,15030.65,15042.89,0.98,0.98
"krakenUSD","USD",15350.2,15369.8,15599.7,15352.6,2826.27,42770271.06,"N/A","N/A","N/A",,
"mrcdBRL","BRL",53111.11,53490,53999,53300,336.28,17707469.76,0.31,16409.02,16526.08,1.07,1.07
"fybsgSGD","SGD",21450,21500,21996.99,21450,49.69,1057787.61,0.75,16124.3,16161.89,1.05,1.05
"localbtcTHB","THB",531371.71,487496.98,675441.4,508333.19,4.33,2258682.02,0.03,16446.04,15088.11,1.07,0.98
"localbtcSGD","SGD",24450,20986.03,23498.38,22521.19,25.14,512137.87,0.75,18379.45,15775.53,1.2,1.03
"localbtcHKD","HKD",142706.81,122067.39,147767.28,128147.37,11.08,1338852.8,0.13,18254.11,15614.05,1.19,1.02
"localbtcILS","ILS",54652.99,55178.5,65540.46,57266.58,0.29,16630,0.29,15851.09,16003.51,1.03,1.04
"localbtcCZK","CZK",310611.42,344931.7,396973.47,362515.42,0.2,72500,0.05,14640.85,16258.55,0.95,1.06
"localbtcMXN","MXN",445946.18,294324.48,441243.95,333187.29,2.45,771096.68,0.05,23021.81,15194.39,1.5,0.99
"localbtcCHF","CHF",22192.23,15284.71,17800.72,11764.76,3.88,53636.52,1.02,22700.49,15634.77,1.48,1.02
"vcxUSD","USD",1501,10000,,6500,0,0,"N/A","N/A","N/A",,
"rockUSD","USD",13500.01,16369,14890,14890,0.13,1911.42,"N/A","N/A","N/A",,
"lakeUSD","USD",15835.54,15848.39,15891.06,15850.74,270.89,4205146.97,"N/A","N/A","N/A",,
"localbtcZAR","ZAR",243000,209652.7,689457.05,239999.52,15.8,3202377.54,0.08,19648.43,16952.04,1.28,1.1
"localbtcBRL","BRL",62050,9900,68029.99,53816.72,3.91,203143.02,0.31,19170.75,3058.67,1.25,0.2
"krakenEUR","EUR",12735,12743.8,12887,12744.9,5163.77,65005732.9,1.2,15304.65,15315.23,1,1
"localbtcCAD","CAD",56755.87,18945.86,37643.02,18864.68,9.93,187872.01,0.8,45245.07,15103.4,2.94,0.98
"localbtcNZD","NZD",24349.01,22133.91,37141.86,24685.55,21.41,489928.39,0.71,17267.56,15696.68,1.12,1.02
"localbtcAUD","AUD",58804.15,19838.56,40955.74,21614.01,33.06,685672.34,0.78,46030.57,15529.18,2.99,1.01
"vcxEUR","EUR",726,6400,,6400,0,0,1.2,872.49,7691.38,0.06,0.5
"localbtcEUR","EUR",37858.96,11627.75,29134.02,13756.29,50.79,632165.11,1.2,45498.09,13973.98,2.96,0.91
"bitmarketEUR","EUR",12819.58,13186.35,13318.52,12811.62,5.43,69889.28,1.2,15406.3,15847.08,1,1.03
"nevbitPLN","PLN",44479,63499.99,55038.07,54964.1,46.83,2528831.34,0.29,12881.63,18390.33,0.84,1.2
"btcdeEUR","EUR",12700.99,12799,29985.01,12950,834.44,10566200.42,1.2,15263.78,15381.56,0.99,1
"bitkonanUSD","USD",15264.21,15554,15598.99,15100,1.83,27565.51,"N/A","N/A","N/A",,
"localbtcINR","INR",1427288.5,1005807.33,1701258.93,1037363.37,11.77,12856019.92,0.02,22477.34,15839.73,1.46,1.03
"bitmarketPLN","PLN",53935.48,54700,54998,53935.48,180.19,9726699.05,0.29,15620.33,15841.75,1.02,1.03
"coinbaseUSD","USD",15373.35,15373.36,15400,15333.35,19321.25,290600278.67,"N/A","N/A","N/A",,
"krakenCAD","CAD",18601.3,18700,19490,18601.3,104.15,1961496.22,0.8,14828.72,14907.41,0.96,0.97
"coinbaseGBP","GBP",11508.15,11543.18,11543.18,11511.73,580.09,6511395.67,1.35,15555.97,15603.32,1.01,1.01
"coinbaseEUR","EUR",13108.99,13109,13198,13108.99,3547.34,45952156.05,1.2,15754.1,15754.12,1.02,1.02
"btcalphaUSD","USD",1000000,0.02,15427,15290,248.64,3725661.38,"N/A","N/A","N/A",,
"rockEUR","EUR",12336.58,12389.99,12390,12389.99,145.91,1768935.79,1.2,14825.84,14890.03,0.96,0.97
"btccUSD","USD",15200,15841,16499.99,15847,19.75,308127.25,"N/A","N/A","N/A",,
"coincheckJPY","JPY",1820101,1820763,1825000,1820101,27150.62,47713618668.56,0.01,16151.25,16157.13,1.05,1.05
"bitstockCZK","CZK",317001,345000,370000,315025,0.23,75620.21,0.05,14942.02,16261.77,0.97,1.06
"localbtcVND","VND",359654878.12,407608861.87,422472137.96,342831885.08,0.02,6890000,0,15843.83,17956.34,1.03,1.17
"bitxIDR","IDR",225500000,227430000,227997000,227430000,3.71,832786167.53,0,16740.91,16884.19,1.09,1.1
"bitxMYR","MYR",74948,74950,74950,74950,129.04,9463048.45,0.25,18639.18,18639.68,1.21,1.21
"bitxNGN","NGN",5730000,5743000,5767451,5730000,56.25,317224398.78,0,16095.49,16132,1.05,1.05
"bitxZAR","ZAR",205995,205996,224188,205996,1092.09,230154313.7,0.08,16656.29,16656.37,1.08,1.08
"krakenJPY","JPY",1800000,1811480,1899997,1812966,5.82,10288705.43,0.01,15972.88,16074.75,1.04,1.05
"cexUSD","USD",16082,16125.7,16560.98,16145.87,1804.75,28860841.59,"N/A","N/A","N/A",,
"cexEUR","EUR",13083.68,13112.16,13270,13099.39,246.35,3192064.33,1.2,15723.69,15757.91,1.02,1.03
"cexRUB","RUB",931009.72,969999.94,978000,969999.94,5.82,5509083.3,0.02,16291.12,16973.38,1.06,1.1
"coinsbankUSD","USD",14838.24,14940,15339.59,14853.6,2099.59,31030413.85,"N/A","N/A","N/A",,
"coinsbankEUR","EUR",12411.01,12600,12967.43,12408.46,1711.12,21047819.56,1.2,14915.29,15142.41,0.97,0.98
"coinsbankGBP","GBP",10619.56,12000,11803.78,11313.5,1771.45,19591865.93,1.35,14354.83,16220.82,0.93,1.06
"coinsbankRUB","RUB",856700,894900,885400,875300,1641.5,1410939542.57,0.02,14990.82,15659.26,0.98,1.02
"bcEUR","EUR",12900,12942,13190,12942,19.89,254620.7,1.2,15502.94,15553.42,1.01,1.01
"bitflyerJPY","JPY",1765700,1766626,1820390,1819990,11884.57,20934203117.29,0.01,15668.51,15676.73,1.02,1.02
"chilebitCLP","CLP",10188010,11494990,11497000,11494990,0.07,822109.5,0,16792.5,18946.74,1.09,1.23
"urdubitPKR","PKR",1840261,1857321,1869677,1840261,10.57,19308509.1,0.01,16666.01,16820.51,1.08,1.09
"surbtcVEF","VEF",70600006,81999999,,81999999,0,0,0.1,7077704.77,8220562.82,460.39,534.73
"getbtcUSD","USD",9844.98,9876.69,15593.39,15481.28,667.15,10015101.56,"N/A","N/A","N/A",,
"vbtcVND","VND",369000000,371000000,375041100,371000000,14.54,5317238632.8,0,16255.51,16343.61,1.06,1.06
"foxbitBRL","BRL",52630.41,52500,53000,52974.99,434.51,22750634.35,0.31,16260.51,16220.21,1.06,1.06
"btcboxJPY","JPY",1819900,1825035,1825500,1822527,18926.21,32973475707.24,0.01,16149.47,16195.04,1.05,1.05
"zaifJPY","JPY",1830950,1831495,1845000,1831560,5788.1,10219705173.79,0.01,16247.53,16252.36,1.06,1.06
"okcoinUSD","USD",16105,16166,16289.02,16177.99,199.76,3131461.37,"N/A","N/A","N/A",,
"bitmaszynaPLN","PLN",52500,53780.32,56248.01,54112.76,2.47,131647.04,0.29,15204.6,15575.4,0.99,1.01
"localbtcVEF","VEF",1502432311125,151595.42,2580978190.73,1965000000,24.36,44644292303.53,0.1,150619991960.39,15197.56,9797473.68,0.99
"wexUSD","USD",15309,15409.59,15437.41,15409.59,574.86,8615757.2,"N/A","N/A","N/A",,
"coinfalconEUR","EUR",13083.44,13112.16,13300,13112.16,182.83,2362656.23,1.2,15723.4,15757.91,1.02,1.03
"wexEUR","EUR",13045.45,13045.45,13128.57,13048.91,67.39,865498.5,1.2,15677.74,15677.74,1.02,1.02
"wexRUB","RUB",889485.49,896437.01,898000,896437.01,64.13,56384886.32,0.02,15564.51,15686.15,1.01,1.02
"fiscoJPY","JPY",1830490,1831000,1845000,1829770,5788.11,10219730243.94,0.01,16243.44,16247.97,1.06,1.06
"abucoinsUSD","USD",15738.62,15960.4,15887.72,15853.02,4.48,70442.16,"N/A","N/A","N/A",,
"abucoinsPLN","PLN",54617.87,54700.93,55456.67,54659.4,29.85,1615224.08,0.29,15817.96,15842.02,1.03,1.03
"abucoinsEUR","EUR",13105.34,13232.15,13257.41,13169.88,14.73,190964.99,1.2,15749.72,15902.12,1.02,1.03
