"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value","Bid ARB","Ask ARB"
"btcoidIDR","IDR",226686000,226990000,229998000,226999000,638.87,143615038282.54,0,16828.95,16851.52,1.09,1.1
"localbtcUSD","USD",15000000,14894.56,100000,48000,159.26,2463502.64,"N/A","N/A","N/A",,
"zyadoEUR","EUR",12739.77,12761.2,12869.86,12761.2,2549.6,32072036.69,1.2,15310.38,15336.14,1,1
"localbtcDKK","DKK",128574.99,93335.92,98999.56,98641.61,2.92,254563.97,0.16,20751.06,15063.73,1.35,0.98
"localbtcPLN","PLN",53977.94,54923.8,62567.63,55493.82,0.94,48793.35,0.29,15632.63,15906.56,1.02,1.03
"bit2cILS","ILS",54153.58,54460,56499,54460,34.91,1911884.31,0.29,15706.25,15795.12,1.02,1.03
"itbitUSD","USD",15321.83,15327.64,15414.21,15352.22,2692.15,40538764.47,"N/A","N/A","N/A",,
"itbitSGD","SGD",20374.92,20381.44,20495.29,20495.29,5.12,102374.65,0.75,15316.15,15321.05,1,1
"itbitEUR","EUR",12757.86,12763.85,12810.15,12810.15,4.39,54936.94,1.2,15332.12,15339.32,1,1
"korbitKRW","KRW",21303000,21350000,21375000,21201000,3666.39,75240853982.1,0,19987.99,20032.09,1.3,1.3
"bitbayUSD","USD",15770,16180.99,16380,15780,9.07,144649.21,"N/A","N/A","N/A",,
"bitbayPLN","PLN",54972.5,55100,55373,54950,1339.5,72734820.43,0.29,15920.67,15957.59,1.04,1.04
"bitbayEUR","EUR",12800.21,13121.5,13334.98,13115,15.97,207957.22,1.2,15383.02,15769.14,1,1.03
"coinfloorGBP","GBP",11459,11488,11499,11466,375.91,4181752.78,1.35,15489.53,15528.73,1.01,1.01
"localbtcSEK","SEK",139679.73,122526.08,201322.57,136179.79,13.27,1707369.11,0.12,17096.72,14997.13,1.11,0.98
"localbtcRUB","RUB",99999999999999.98,448998.36,1216989.17,968405.76,146.56,137625788.21,0.02,1749833450852.15,7856.72,113822520.85,0.51
"bitstampUSD","USD",15298.35,15343.77,15500,15312.64,13023.86,195426351.8,"N/A","N/A","N/A",,
"btcmarketsAUD","AUD",21401,21500.36,21900,21500.36,796.04,16645830.94,0.78,16752.22,16830,1.09,1.09
"localbtcARS","ARS",354631.79,269410.2,470416.06,296994.98,2.91,892098.08,0.05,19222.28,14602.97,1.25,0.95
"localbtcNOK","NOK",123592.71,125304.18,148825.22,109919.46,13.56,1679017.36,0.12,15241.46,15452.52,0.99,1.01
"localbtcGBP","GBP",33412.79,7731,44412.86,12000,195.45,2235759.85,1.35,45165.24,10450.26,2.94,0.68
"virwoxSLL","SLL",3966731,4049999,4349962,4049999,18.88,77018346.88,0,519.89,530.8,0.03,0.03
"fybseSEK","SEK",122800,122900,122899.99,122800,0.36,43165.22,0.12,15030.65,15042.89,0.98,0.98
"krakenUSD","USD",15380.2,15381.5,15599.7,15381.5,2813.62,42575855.64,"N/A","N/A","N/A",,
"mrcdBRL","BRL",53111.11,53490,53999,53300,336.28,17707469.76,0.31,16409.02,16526.08,1.07,1.07
"fybsgSGD","SGD",21001,21440,21996.99,21440,49.14,1046055.91,0.75,15786.78,16116.79,1.03,1.05
"localbtcTHB","THB",531371.71,487496.98,675441.4,508333.19,4.33,2258682.02,0.03,16446.04,15088.11,1.07,0.98
"localbtcSGD","SGD",24450,20986.03,23498.38,22521.19,25.14,512137.87,0.75,18379.45,15775.53,1.2,1.03
"localbtcHKD","HKD",142706.81,122067.39,147767.28,127465,10.31,1238852.8,0.13,18254.11,15614.05,1.19,1.02
"localbtcILS","ILS",54652.99,55178.5,65540.46,57266.58,0.29,16630,0.29,15851.09,16003.51,1.03,1.04
"localbtcCZK","CZK",310611.42,344931.7,396973.47,362515.42,0.2,72500,0.05,14640.85,16258.55,0.95,1.06
"localbtcMXN","MXN",445946.18,294324.48,441243.95,333187.29,2.45,771096.68,0.05,23021.81,15194.39,1.5,0.99
"localbtcCHF","CHF",22192.23,15284.71,17800.72,11764.76,3.88,53636.52,1.02,22700.49,15634.77,1.48,1.02
"vcxUSD","USD",1501,10000,,6500,0,0,"N/A","N/A","N/A",,
"rockUSD","USD",13500.01,16369,14890,14890,0.13,1911.42,"N/A","N/A","N/A",,
"lakeUSD","USD",15835.54,15842.47,15891.06,15850.74,270.89,4205146.97,"N/A","N/A","N/A",,
"localbtcZAR","ZAR",243000,209652.7,689457.05,239999.52,15.8,3202377.54,0.08,19648.43,16952.04,1.28,1.1
"localbtcBRL","BRL",62050,9900,68029.99,53816.72,3.91,203143.02,0.31,19170.75,3058.67,1.25,0.2
"krakenEUR","EUR",12758.3,12771.1,12887,12771.1,5149,64817594.28,1.2,15332.65,15348.04,1,1
"localbtcCAD","CAD",56755.87,18945.86,37643.02,18864.68,9.93,187872.01,0.8,45245.07,15103.4,2.94,0.98
