"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value","Bid ARB","Ask ARB"
"localbtcUSD","USD",15000000,14364.9,100000,21097.4,168.89,2613771.35,"N/A","N/A","N/A",,
"itbitUSD","USD",14195.93,14195.94,15414.21,14189.74,3504.14,52293675.53,"N/A","N/A","N/A",,
"bitbayUSD","USD",15650.01,15996.9,16380,15770.03,13.14,208640.61,"N/A","N/A","N/A",,
"bitstampUSD","USD",14191,14192.37,15500,14200,14220.53,212579539.49,"N/A","N/A","N/A",,
"krakenUSD","USD",14489.4,14493,15500.1,14500,3070.56,46228615.07,"N/A","N/A","N/A",,
"vcxUSD","USD",1501,10000,,6500,0,0,"N/A","N/A","N/A",,
"lakeUSD","USD",15310.18,15354,15891.06,15311.33,260.36,4032235.11,"N/A","N/A","N/A",,
"rockUSD","USD",13500.01,16369,,14890,0,0,"N/A","N/A","N/A",,
"bitkonanUSD","USD",14811,15179.95,15599,14800,1.97,29691.13,"N/A","N/A","N/A",,
"coinbaseUSD","USD",14417,14426.96,15400,14250,19663.68,294780705.11,"N/A","N/A","N/A",,
"btcalphaUSD","USD",1000000,0.02,15390,14144,261.75,3904336.1,"N/A","N/A","N/A",,
"btccUSD","USD",15500,16420,17000,15500,28.62,450275.72,"N/A","N/A","N/A",,
"cexUSD","USD",15600.02,15658.53,16553.29,15638.57,1919.77,30563637.1,"N/A","N/A","N/A",,
"coinsbankUSD","USD",14300.01,14387.88,15339.59,14424.35,2091.63,30891832.82,"N/A","N/A","N/A",,
"getbtcUSD","USD",9844.98,9876.69,15557.03,14197.07,674.68,10123058.02,"N/A","N/A","N/A",,
"okcoinUSD","USD",14914.22,15091.84,16236.79,14877.09,163.39,2556475.36,"N/A","N/A","N/A",,
"wexUSD","USD",14557.61,14559.17,15437.41,14545,554.62,8297269.78,"N/A","N/A","N/A",,
"abucoinsUSD","USD",15285.36,15500.26,15887.72,15375.56,4.67,73433.85,"N/A","N/A","N/A",,
