"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value","Bid ARB","Ask ARB"
"btcoidIDR","IDR",222498000,222499000,229941000,222358000,703.99,158714166838.4,0,16577.11,16577.19,1.14,1.14
"localbtcUSD","USD",15000000,14821.3,100000,21097.4,168.89,2613771.35,"N/A","N/A","N/A",,
"zyadoEUR","EUR",12168.04,12182.07,12789.49,12182.07,2607.6,32734580.66,1.2,14642.91,14659.8,1.01,1.01
"localbtcDKK","DKK",121399.14,88126.78,99562.92,99562.92,2.72,237763.97,0.16,19617.34,14240.73,1.35,0.98
"localbtcPLN","PLN",53195.84,52900.15,73197.87,73197.87,0.94,48893.35,0.29,15404.82,15319.19,1.06,1.05
"bit2cILS","ILS",53611,54398.98,56499,54398.98,35.1,1907378.72,0.29,15557.34,15786,1.07,1.09
"itbitUSD","USD",14427.89,14428.79,15414.21,14438.47,3433.81,51283645.62,"N/A","N/A","N/A",,
"itbitSGD","SGD",19174.71,19181.95,20495.29,19210.78,4.64,92542.04,0.75,14427.71,14433.15,0.99,0.99
"itbitEUR","EUR",11991.08,11995.95,12810.15,12027.9,5.08,62845.85,1.2,14429.96,14435.82,0.99,0.99
"korbitKRW","KRW",20926000,20986500,21450000,20927000,3543.58,73281836630.32,0,19697.47,19754.42,1.35,1.36
"bitbayUSD","USD",15650.01,15996.9,16380,15770.03,13.14,208640.61,"N/A","N/A","N/A",,
"bitbayPLN","PLN",53616.01,53799,55373,53797,1349.25,73189977.23,0.29,15526.49,15579.49,1.07,1.07
"bitbayEUR","EUR",12700,13141.5,13334.98,12800,17.11,222522.77,1.2,15283.07,15814.36,1.05,1.09
"coinfloorGBP","GBP",10800,10821,11499,10819,380.11,4224888.91,1.35,14620.08,14648.51,1.01,1.01
"localbtcSEK","SEK",136157.33,119436.26,201322.57,134000.01,13.25,1701826.72,0.12,16691.65,14641.8,1.15,1.01
"localbtcRUB","RUB",99999999999999.98,448998.36,9147490.48,953477.91,158.54,148869432.37,0.02,1749071273762.38,7853.3,120239098.58,0.54
"bitstampUSD","USD",14448.26,14469.99,15500,14445.76,14028.29,209828630.02,"N/A","N/A","N/A",,
"btcmarketsAUD","AUD",20849.64,20871,21900,20849.28,870.09,18360226.32,0.78,16359.04,16375.8,1.12,1.13
"localbtcARS","ARS",357799.23,271816.47,470416.06,298824.35,2.75,842306.04,0.05,19393.96,14733.4,1.33,1.01
"localbtcNOK","NOK",124070.25,125005.68,148825.22,127028.81,12.5,1561808.78,0.12,15319.92,15435.43,1.05,1.06
"localbtcGBP","GBP",24536.24,7731,44412.86,12212.28,194.42,2223685.71,1.35,33214.98,10465.54,2.28,0.72
"virwoxSLL","SLL",3975000,3989000,4349962,3989000,18.62,76126494.03,0,520.97,522.8,0.04,0.04
"fybseSEK","SEK",122800,122899.93,122899.99,122800,0.36,43165.22,0.12,15054.17,15066.42,1.03,1.04
"krakenUSD","USD",14576.9,14582.5,15500.1,14577,3028.57,45618154.3,"N/A","N/A","N/A",,
"mrcdBRL","BRL",52640,52699,53999,52610,328.21,17330487.38,0.31,16263.49,16281.72,1.12,1.12
"fybsgSGD","SGD",20888,20900,21996.99,20623.4,52,1104974.86,0.75,15716.84,15725.87,1.08,1.08
"localbtcTHB","THB",525902.69,481774.85,675441.4,523345.73,8.22,4310566.66,0.03,16306.96,14938.66,1.12,1.03
"localbtcSGD","SGD",24450,21066.67,23584.42,21782.97,20.74,414509.27,0.75,18397.01,15851.28,1.26,1.09
