"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value","Bid ARB","Ask ARB"
"zyadoEUR","EUR",12168.04,12182.07,12789.49,12182.07,2607.6,32734580.66,1.2,14642.91,14659.8,1.01,1.01
"itbitEUR","EUR",11991.08,11995.95,12810.15,12027.9,5.08,62845.85,1.2,14429.96,14435.82,0.99,0.99
"bitbayEUR","EUR",12700,13141.5,13334.98,12800,17.11,222522.77,1.2,15283.07,15814.36,1.05,1.09
"krakenEUR","EUR",12180,12189.4,12848.6,12189.4,5268.56,66127298.59,1.2,14657.3,14668.62,1.01,1.01
"vcxEUR","EUR",726,6400,,6400,0,0,1.2,873.66,7701.7,0.06,0.53
"localbtcEUR","EUR",36236.5,11129.44,29134.02,12969.74,49.66,616571.28,1.2,43606.68,13393.07,3,0.92
"bitmarketEUR","EUR",12597.23,12851.72,13276.07,12811.62,5.18,66584.16,1.2,15159.4,15465.65,1.04,1.06
"btcdeEUR","EUR",12510,12450,29985.01,12500,852.3,10788831.34,1.2,15054.42,14982.22,1.03,1.03
"coinbaseUSD","USD",14546.61,14546.62,15400,14517.01,19377.12,290647820.32,"N/A","N/A","N/A",,
"coinbaseEUR","EUR",12705.13,12712.5,13198,12668.01,3642.69,47172731.35,1.2,15289.24,15298.11,1.05,1.05
"rockEUR","EUR",11872.55,11945.19,12400.1,11945.22,150.14,1821488.55,1.2,14287.32,14374.74,0.98,0.99
"cexEUR","EUR",12740.97,12814.73,13250,12742.04,266.97,3449823.2,1.2,15332.37,15421.13,1.05,1.06
"coinsbankEUR","EUR",12170.83,12198.06,12967.43,12218.23,1724.53,21309074.72,1.2,14646.27,14679.04,1.01,1.01
"bcEUR","EUR",12626,12710,13190,12729.96,20.54,262963.2,1.2,15194.02,15295.1,1.04,1.05
"coinfalconEUR","EUR",12727.33,12814.74,13250,12814.73,202.03,2611571.9,1.2,15315.96,15421.14,1.05,1.06
"wexEUR","EUR",12640.01,12738.45,13144.39,12738.45,66.34,853793.47,1.2,15210.88,15329.33,1.05,1.05
"abucoinsEUR","EUR",12901,12954.44,13257.41,12927.72,16.5,214070.79,1.2,15524.95,15589.26,1.07,1.07
