"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value","Bid ARB","Ask ARB"
"btcoidIDR","IDR",226674000,227000000,229998000,226050000,637.94,143405586225.01,0,16828.06,16852.26,1.1,1.1
"localbtcUSD","USD",15000000,14894.56,100000,48000,159.26,2463502.64,"N/A","N/A","N/A",,
"zyadoEUR","EUR",12732.1,12759.61,12869.86,12759.61,2544.74,32009982.43,1.2,15301.17,15334.23,1,1
"localbtcDKK","DKK",126235.28,91637.46,98999.56,98641.61,2.92,254563.97,0.16,20373.44,14789.61,1.33,0.96
"localbtcPLN","PLN",53977.94,54923.8,62567.63,55493.82,0.94,48793.35,0.29,15632.63,15906.56,1.02,1.04
"bit2cILS","ILS",54153.58,54460,56499,54460,34.91,1911884.31,0.29,15706.25,15795.12,1.02,1.03
"itbitUSD","USD",15356.7,15357.12,15414.21,15357.12,2690.39,40511701.3,"N/A","N/A","N/A",,
"itbitSGD","SGD",20414.86,20423.37,20495.29,20495.29,5.12,102374.65,0.75,15346.17,15352.57,1,1
"itbitEUR","EUR",12771.7,12777.44,12810.15,12810.15,4.39,54936.94,1.2,15348.76,15355.65,1,1
"korbitKRW","KRW",21300000,21350000,21375000,21300000,3651.66,74926566564.12,0,19985.17,20032.09,1.3,1.3
"bitbayUSD","USD",15770,16182.02,16380,15780,9.07,144649.21,"N/A","N/A","N/A",,
"bitbayPLN","PLN",55005,55200,55373,55005,1338.76,72693848.05,0.29,15930.08,15986.55,1.04,1.04
"bitbayEUR","EUR",12800.21,13121.5,13334.98,13115,15.97,207957.22,1.2,15383.02,15769.14,1,1.03
"coinfloorGBP","GBP",11460,11491,11499,11466,375.91,4181752.78,1.35,15490.88,15532.79,1.01,1.01
"localbtcSEK","SEK",139679.73,122526.08,201322.57,136179.79,13.27,1707369.11,0.12,17096.72,14997.13,1.11,0.98
"localbtcRUB","RUB",99999999999999.98,448998.36,1216989.17,968405.76,146.56,137625788.21,0.02,1749833450852.15,7856.72,113910547.03,0.51
"bitstampUSD","USD",15335.77,15349,15500,15358.83,13005.57,195145909.76,"N/A","N/A","N/A",,
"btcmarketsAUD","AUD",21543.21,21590,21900,21610.79,792.56,16571173.83,0.78,16863.54,16900.17,1.1,1.1
"localbtcARS","ARS",354631.79,269410.2,470416.06,296994.98,2.91,892098.08,0.05,19222.28,14602.97,1.25,0.95
"localbtcNOK","NOK",123592.71,125304.18,148825.22,109919.46,13.56,1679017.36,0.12,15241.46,15452.52,0.99,1.01
"localbtcGBP","GBP",33412.79,7731,44412.86,12000,195.45,2235759.85,1.35,45165.24,10450.26,2.94,0.68
"virwoxSLL","SLL",3966731,4049999,4349962,4049999,18.87,76977846.89,0,519.89,530.8,0.03,0.03
"fybseSEK","SEK",122800,122900,122899.99,122800,0.36,43165.22,0.12,15030.65,15042.89,0.98,0.98
"krakenUSD","USD",15403,15420,15599.7,15154.3,2803.65,42423086.87,"N/A","N/A","N/A",,
"mrcdBRL","BRL",53111.11,53490,53999,53300,336.28,17707469.76,0.31,16409.02,16526.08,1.07,1.08
"fybsgSGD","SGD",21001,21440,21996.99,21440,49.14,1046055.91,0.75,15786.78,16116.79,1.03,1.05
"localbtcTHB","THB",531371.71,487496.98,675441.4,508333.19,4.33,2258682.02,0.03,16446.04,15088.11,1.07,0.98
"localbtcSGD","SGD",24450,20986.03,23498.38,22521.19,25.14,512137.87,0.75,18379.45,15775.53,1.2,1.03
"localbtcHKD","HKD",142706.81,122067.39,147767.28,127465,10.31,1238852.8,0.13,18254.11,15614.05,1.19,1.02
"localbtcILS","ILS",54652.99,55178.5,65540.46,57266.58,0.29,16630,0.29,15851.09,16003.51,1.03,1.04
"localbtcCZK","CZK",310611.42,344931.7,396973.47,362515.42,0.2,72500,0.05,14640.85,16258.55,0.95,1.06
"localbtcMXN","MXN",445946.18,294324.48,441243.95,324699.99,2.44,767396.68,0.05,23021.81,15194.39,1.5,0.99
"localbtcCHF","CHF",22192.23,15284.71,17800.72,11764.76,3.88,53636.52,1.02,22700.49,15634.77,1.48,1.02
"vcxUSD","USD",1501,10000,,6500,0,0,"N/A","N/A","N/A",,
"rockUSD","USD",13500.01,16369,14890,14890,0.13,1911.42,"N/A","N/A","N/A",,
"lakeUSD","USD",15836.8,15861.17,15891.06,15850.74,270.89,4205146.97,"N/A","N/A","N/A",,
"localbtcZAR","ZAR",243000,209652.7,689457.05,239999.52,15.8,3202377.54,0.08,19648.43,16952.04,1.28,1.1
"localbtcBRL","BRL",62050,9900,68029.99,53816.72,3.91,203143.02,0.31,19170.75,3058.67,1.25,0.2
"krakenEUR","EUR",12752,12770,12887,12758.2,5143.51,64747477.3,1.2,15325.08,15346.71,1,1
"localbtcCAD","CAD",56755.87,18945.86,37643.02,18864.68,9.93,187872.01,0.8,45245.07,15103.4,2.95,0.98
"localbtcNZD","NZD",24349.01,22133.91,37141.86,24685.55,21.41,489928.39,0.71,17267.56,15696.68,1.12,1.02
"localbtcAUD","AUD",57456.54,19382.84,40955.74,21614.01,33.06,685672.34,0.78,44975.69,15172.45,2.93,0.99
"vcxEUR","EUR",726,6400,,6400,0,0,1.2,872.49,7691.38,0.06,0.5
"localbtcEUR","EUR",37858.96,11627.75,29134.02,14236.5,50.74,631514.11,1.2,45498.09,13973.98,2.96,0.91
"bitmarketEUR","EUR",13001.3,13186.35,13318.52,12811.62,5.43,69889.28,1.2,15624.68,15847.08,1.02,1.03
"nevbitPLN","PLN",44538.58,63499.99,55038.07,54964.1,46.83,2528831.34,0.29,12898.88,18390.33,0.84,1.2
"btcdeEUR","EUR",12700.99,12777,16320,12785,833.52,10554384.82,1.2,15263.78,15355.13,0.99,1
"bitkonanUSD","USD",15316.7,15554,15598.99,15100,1.83,27565.51,"N/A","N/A","N/A",,
"localbtcINR","INR",1427288.5,1005807.33,1701258.93,1037363.37,11.77,12856019.92,0.02,22477.34,15839.73,1.46,1.03
"bitmarketPLN","PLN",54700,54799,54998,54700,180.05,9719311.54,0.29,15841.75,15870.42,1.03,1.03
"coinbaseUSD","USD",15361.47,15361.48,15400,15373.36,19205.63,288824762.46,"N/A","N/A","N/A",,
"krakenCAD","CAD",18701.3,19000,19490,18700,102.48,1930173.37,0.8,14908.44,15146.56,0.97,0.99
"coinbaseGBP","GBP",11508.15,11543.18,11543.18,11543.18,576.85,6474041.5,1.35,15555.97,15603.32,1.01,1.02
"coinbaseEUR","EUR",13016,13016.08,13198,13119.96,3542.42,45887667.11,1.2,15642.35,15642.45,1.02,1.02
"btcalphaUSD","USD",1000000,0.02,15427,15330,247.06,3701545.84,"N/A","N/A","N/A",,
"rockEUR","EUR",12336.42,12389.99,12390,12389.99,145.91,1768901.1,1.2,14825.65,14890.03,0.97,0.97
"btccUSD","USD",15200,15847,16499.99,15847,19.72,307674.02,"N/A","N/A","N/A",,
"coincheckJPY","JPY",1819336,1819995,1820770,1819465,26960.14,47366774255.14,0.01,16144.47,16150.31,1.05,1.05
"bitstockCZK","CZK",317001,345000,370000,315025,0.23,75620.21,0.05,14942.02,16261.77,0.97,1.06
"localbtcVND","VND",359654878.12,407608861.87,422472137.96,342831885.08,0.02,6890000,0,15843.83,17956.34,1.03,1.17
"bitxIDR","IDR",225201000,226850000,227997000,226850000,3.71,831930473.3,0,16718.71,16841.13,1.09,1.1
"bitxMYR","MYR",74948,74950,74950,74950,128.37,9413261.39,0.25,18639.18,18639.68,1.21,1.21
"bitxNGN","NGN",5715100,5744000,5767451,5744000,56.24,317194579.86,0,16053.63,16134.81,1.05,1.05
"bitxZAR","ZAR",205995,205996,224188,205996,1090.81,229890841.07,0.08,16656.29,16656.37,1.08,1.08
"krakenJPY","JPY",1800000,1807314,1899997,1797946,5.36,9460246.28,0.01,15972.88,16037.78,1.04,1.04
"cexUSD","USD",16015.26,16149.97,16560.98,16165.66,1802.19,28819742.9,"N/A","N/A","N/A",,
"cexEUR","EUR",13128,13178.53,13270,13178.58,246.24,3190603.15,1.2,15776.95,15837.68,1.03,1.03
"cexRUB","RUB",931009.72,969698.99,978000,969899.89,5.63,5329496.33,0.02,16291.12,16968.12,1.06,1.1
"coinsbankUSD","USD",14870.33,14940,15339.59,14818.17,2093.54,30940594.05,"N/A","N/A","N/A",,
"coinsbankEUR","EUR",12415.02,12600,12967.43,12506.77,1694.76,20843510.68,1.2,14920.11,15142.41,0.97,0.99
"coinsbankGBP","GBP",10651.67,12000,11803.78,11351.49,1761.75,19481925.46,1.35,14398.23,16220.82,0.94,1.06
"coinsbankRUB","RUB",853400,897100,885400,875400,1630.06,1400923870.68,0.02,14933.08,15697.76,0.97,1.02
"bcEUR","EUR",12900,12942,13190,12942,19.89,254620.7,1.2,15502.94,15553.42,1.01,1.01
"bitflyerJPY","JPY",1810000,1810708,1819997,1817910,11804.36,20788251125.41,0.01,16061.62,16067.9,1.05,1.05
"chilebitCLP","CLP",10188010,11494990,11497000,11494990,0.07,822109.5,0,16792.5,18946.74,1.09,1.23
"urdubitPKR","PKR",1840868,1857321,1869677,1840868,10.43,19050010.46,0.01,16671.51,16820.51,1.09,1.09
"surbtcVEF","VEF",70600006,81999999,,81999999,0,0,0.1,7077704.77,8220562.82,460.74,535.14
"getbtcUSD","USD",9844.98,9876.69,15593.39,15514.61,662.58,9946187.19,"N/A","N/A","N/A",,
"vbtcVND","VND",369000100,371000000,375041100,371000000,14.54,5317238632.8,0,16255.51,16343.61,1.06,1.06
"foxbitBRL","BRL",52556.1,52996.81,53000,52996.81,433.18,22680921.43,0.31,16237.55,16373.71,1.06,1.07
"btcboxJPY","JPY",1817031,1824999,1822902,1820468,18809.2,32760338800.23,0.01,16124.01,16194.72,1.05,1.05
"zaifJPY","JPY",1832980,1833000,1845000,1833055,5746.34,10143190400.96,0.01,16265.54,16265.72,1.06,1.06
"okcoinUSD","USD",16112.67,16178,16289.02,16177.99,199.76,3131461.37,"N/A","N/A","N/A",,
"bitmaszynaPLN","PLN",52500,54112.76,56248.01,54112.76,2.47,131647.04,0.29,15204.6,15671.68,0.99,1.02
"localbtcVEF","VEF",1502432311125,151595.42,2580978190.73,1965000000,24.36,44644292303.53,0.1,150619991960.39,15197.56,9805050.69,0.99
