"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value","Bid ARB","Ask ARB"
"btcoidIDR","IDR",226300000,226700000,229998000,226699000,605.94,136125428220.61,0,16796.56,16826.25,1.11,1.11
"localbtcUSD","USD",15000000,14894.56,100000,48000,159.26,2463502.64,"N/A","N/A","N/A",,
"zyadoEUR","EUR",12724.11,12730.06,12869.86,12730.06,2496.34,31392229.06,1.2,15280.66,15287.8,1.01,1.01
"localbtcDKK","DKK",126235.28,91637.46,98999.56,98641.61,2.92,254563.97,0.16,20357.64,14778.14,1.34,0.97
"localbtcPLN","PLN",53977.94,54923.8,62567.63,55493.82,0.94,49193.35,0.29,15621.34,15895.07,1.03,1.05
"bit2cILS","ILS",54287.77,54400,56499,54400,34.44,1886149.22,0.29,15745.17,15777.72,1.04,1.04
"itbitUSD","USD",15351.6,15358.22,15407.88,15374.7,2606.05,39218274.16,"N/A","N/A","N/A",,
"itbitSGD","SGD",20381.12,20492.6,20372.13,20347.95,5.07,101438.6,0.75,15308.27,15392,1.01,1.01
"itbitEUR","EUR",12780.45,12785.47,12757.47,12757.47,4.37,54584.66,1.2,15348.32,15354.34,1.01,1.01
"korbitKRW","KRW",20999500,21000000,21000000,21000000,3430.57,70246483306.33,0,19678.85,19679.32,1.3,1.3
"bitbayUSD","USD",16000,16186.63,16380,15770,9.45,150610.35,"N/A","N/A","N/A",,
"bitbayPLN","PLN",55000,55200,55373,55000,1359.83,73785091.43,0.29,15917.12,15975,1.05,1.05
"bitbayEUR","EUR",12800.01,13121.5,13334.98,13113.43,16.31,212405.82,1.2,15371.81,15757.89,1.01,1.04
"coinfloorGBP","GBP",11496,11497,11497,11497,374.05,4160400.19,1.35,15533.88,15535.23,1.02,1.02
"localbtcSEK","SEK",139679.73,122526.08,201322.57,134385.48,13.06,1678394.11,0.12,17084.14,14986.08,1.13,0.99
"localbtcRUB","RUB",99999999999999.98,448998.36,1216989.17,968405.76,149.65,140456012.05,0.02,1748679716212.36,7851.54,115263111.44,0.52
"bitstampUSD","USD",15387.5,15387.91,15500,15350.06,12513.71,187607937.14,"N/A","N/A","N/A",,
"btcmarketsAUD","AUD",21890,21890.26,21900,21757.55,757.08,15803448.05,0.78,17110.88,17111.08,1.13,1.13
"localbtcARS","ARS",354631.79,269410.2,470416.06,296994.98,2.91,892098.08,0.05,19222.28,14602.97,1.27,0.96
"localbtcNOK","NOK",123592.71,125304.18,148825.22,109919.46,13.56,1679017.36,0.12,15231.65,15442.57,1,1.02
"localbtcGBP","GBP",33412.79,7731,44412.86,11947,203.93,2331149.46,1.35,45148.76,10446.45,2.98,0.69
"virwoxSLL","SLL",4000862,4212119,4349962,4212119,18.13,73990369.61,0,524.36,552.05,0.03,0.04
"fybseSEK","SEK",122800,122900,122899.99,122800,0.36,43165.22,0.12,15019.59,15031.82,0.99,0.99
"krakenUSD","USD",15351.4,15388.7,15599.7,15388.5,2698.08,40797971.31,"N/A","N/A","N/A",,
"mrcdBRL","BRL",53111.11,53490,53999,53300,336.28,17707469.76,0.31,16409.04,16526.1,1.08,1.09
"fybsgSGD","SGD",21010,21340,21996.99,21440,48.94,1041798.44,0.75,15780.62,16028.48,1.04,1.06
"localbtcTHB","THB",531371.71,487496.98,675441.4,508333.19,4.33,2258682.02,0.03,16420.63,15064.8,1.08,0.99
"localbtcSGD","SGD",24450,20986.03,23498.38,19452.6,25.07,510637.87,0.75,18364.4,15762.61,1.21,1.04
"localbtcHKD","HKD",142706.81,122067.39,147767.28,114401.32,9.91,1188852.8,0.13,18255.97,15615.64,1.2,1.03
"localbtcILS","ILS",54652.99,55178.5,65540.46,57266.58,0.29,16630,0.29,15851.09,16003.51,1.04,1.05
"localbtcCZK","CZK",310611.42,344931.7,396973.47,362515.42,0.2,72500,0.05,14628.02,16244.31,0.96,1.07
"localbtcMXN","MXN",436582.8,287528.1,441243.95,328999.97,2.82,882206.55,0.05,22533.07,14840.01,1.49,0.98
"localbtcCHF","CHF",22192.23,15284.71,17800.72,11764.76,3.94,54636.52,1.02,22695.39,15631.25,1.5,1.03
